ymd,high,low,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2011-01-01,6,2,多云~雨夹雪,北风,4-5级,,,
2011-01-02,6,2,多云,北风,4-5级,,,
2011-01-03,7,2,多云~阴,东北风,3-4级,,,
2011-01-04,6,1,小雨,北风,4-5级,,,
2011-01-05,5,0,阴~多云,北风,4-5级,,,
2011-01-06,6,0,多云,北风,3-4级,,,
2011-01-07,7,2,多云,北风,4-5级,,,
2011-01-08,7,4,多云~阴,东北风,3-4级,,,
2011-01-09,7,0,阴~多云,北风,3-4级,,,
2011-01-10,5,0,多云~阴,东北风~东风,4-5级~3-4级,,,
2011-01-11,6,2,多云,东风,3-4级,,,
2011-01-12,7,3,多云~阴,东北风,3-4级,,,
2011-01-13,6,0,阴~多云,东北风,4-5级,,,
2011-01-14,5,-2,多云,北风,4-5级,,,
2011-01-15,3,-1,多云,北风~东北风,4-5级,,,
2011-01-16,4,0,多云~阴,东北风,4-5级~3-4级,,,
2011-01-26,7,2,阴,东北风,3-4级,,,
2011-01-29,4,-2,晴~多云,北风,4-5级,,,
2011-01-30,4,-3,多云~晴,西北风,4-5级~3-4级,,,
2011-01-31,7,-2,晴,西北风,微风~3-4级,,,
2012-01-01,9,4,多云,北风~东北风,4-5级~3-4级,,,
2012-01-02,8,3,多云~阴,西北风,微风~3-4级,,,
2012-01-03,6,0,阴~多云,西北风,4-5级,,,
2012-01-04,4,-1,晴,西北风,4-5级~3-4级,,,
2012-01-05,5,1,多云~阴,北风,3-4级,,,
2012-01-06,7,4,阴~多云,东北风,3-4级,,,
2012-01-07,8,5,多云~阴,东北风,3-4级,,,
2012-01-08,8,5,小雨,东北风,3-4级,,,
2012-01-09,9,5,阴,东北风,3-4级,,,
2012-01-10,9,5,阴,东北风,3-4级,,,
2012-01-11,8,2,阴,北风,4-5级,,,
2012-01-12,8,4,多云,东风,3-4级,,,
2012-01-13,9,5,阴~小雨,东风,3-4级,,,
2012-01-14,6,4,中雨,东北风,3-4级,,,
2012-01-16,9,4,阴~多云,东北风~东风,3-4级,,,
2012-01-17,10,5,多云~阴,东北风~东风,3-4级,,,
2012-01-18,10,7,小雨,东风,3-4级,,,
2012-01-19,9,6,小雨~阴,东北风,4-5级,,,
2012-01-20,9,5,阴~小雨,北风,4-5级,,,
2012-01-21,6,1,小雨~雨夹雪,北风,4-5级,,,
2012-01-22,4,-1,小雪~阴,北风,4-5级,,,
2012-01-23,4,-2,多云,北风,4-5级~3-4级,,,
2012-01-24,4,-2,多云,北风,3-4级,,,
2012-01-25,4,-1,晴,西北风~北风,3-4级,,,
2012-01-26,7,-1,晴~多云,东南风~南风,3-4级,,,
2012-01-27,9,5,小雨,东北风,3-4级,,,
2012-01-28,8,4,小雨~阴,东北风,4-5级,,,
2012-01-29,9,3,多云~小雨,东北风,4-5级,,,
2012-01-30,8,2,多云,东北风,3-4级,,,
2012-01-31,10,2,多云~晴,南风~北风,3-4级~4-5级,,,
2013-01-01,9,1,晴,西北风~北风,3-4级,,,
2013-01-02,9,1,多云~阴,北风,4-5级,,,
2013-01-03,0,-2,小雪~阴,北风,4-5级~3-4级,,,
2013-01-04,3,0,雨夹雪,北风,3-4级,,,
2013-01-05,5,2,阴~雨夹雪,北风,3-4级,,,
2013-01-06,5,1,雨夹雪,东北风,3-4级,,,
2013-01-07,5,1,雨夹雪~阴,北风,3-4级,,,
2013-01-08,6,2,多云~阴,北风,3-4级,,,
2013-01-09,7,0,多云~晴,北风,4-5级,,,
2013-01-10,6,1,晴,北风~东北风,3-4级,,,
2013-01-11,9,2,多云~阴,东风~南风,3-4级,,,
2013-01-12,10,4,多云~中雨,东北风~东风,3-4级,,,
2013-01-13,7,3,小到中雨~多云,东北风,4-5级~3-4级,,,
2013-01-14,10,3,晴,北风,3-4级,,,
2013-01-15,9,3,多云~晴,东风~东南风,微风,,,
2013-01-16,7,1,多云,西北风~北风,3-4级~4-5级,,,
2013-01-17,5,-1,多云,北风~东北风,4-5级~3-4级,,,
2013-01-18,6,0,晴,北风,3-4级,,,
2013-01-19,10,6,晴~多云,东南风,3-4级~4-5级,,,
2013-01-20,14,8,阴~小雨,东南风,3-4级,,,
2013-01-21,10,4,小雨,西北风,4-5级,,,
2013-01-22,6,2,小雨~多云,西北风,3-4级,,,
2013-01-23,8,3,多云,西北风,3-4级,,,
2013-01-24,11,1,多云,西北风,4-5级,,,
2013-01-25,9,1,晴,西风~南风,3-4级,,,
2013-01-26,11,2,多云,西风~东北风,3-4级,,,
2013-01-27,9,1,晴,东北风~东南风,3-4级,,,
2013-01-28,11,6,晴~多云,东南风,3-4级,,,
2013-01-29,14,6,阴~晴,东南风,3-4级,,,
2013-01-30,15,9,晴~多云,东南风,3-4级,,,
2013-01-31,17,10,小雨,东南风~南风,4-5级,,,
2014-01-01,14,5,晴,西风,3-4级,,,
2014-01-02,16,8,晴~多云,东南风,3-4级,,,
2014-01-03,14,6,多云,北风,3-4级,,,
2014-01-04,10,3,多云~晴,西北风~北风,3-4级,,,
2014-01-05,10,5,晴~多云,东北风~东风,3-4级,,,
2014-01-06,11,8,多云,东南风,3-4级,,,
2014-01-07,12,6,小雨~中雨,东南风,3-4级~4-5级,,,
2014-01-08,8,2,小雨,西北风~北风,4-5级,,,
2014-01-09,5,0,多云,北风,4-5级,,,
2014-01-10,8,4,晴~阴,东风,3-4级,,,
2014-01-11,8,4,小雨,东风~东北风,3-4级,,,
2014-01-12,7,3,小雨~阴,北风,3-4级,,,
2014-01-13,7,2,多云,北风~东北风,3-4级,,,
2014-01-14,8,2,多云~晴,东北风,3-4级,,,
2014-01-15,8,3,晴,东北风,3-4级,,,
2014-01-16,10,3,多云,西北风~东南风,3-4级,,,
2014-01-17,11,3,晴,西北风,微风,,,
2014-01-18,9,2,晴,西北风~北风,3-4级,,,
2014-01-19,10,3,晴,东南风~西南风,3-4级,,,
2014-01-20,10,1,晴,西北风,4-5级,,,
2014-01-21,6,0,晴,西北风,4-5级~3-4级,,,
2014-01-22,6,1,晴,北风~东南风,3-4级,,,
2014-01-23,11,6,晴,南风,3-4级,,,
2014-01-24,16,8,晴~多云,南风,4-5级,,,
2014-01-25,17,6,多云,西南风~北风,4-5级,,,
2014-01-26,10,4,多云,东北风~东风,4-5级~3-4级,,,
2014-01-27,13,6,晴,东南风,3-4级,,,
2014-01-28,14,7,多云~阴,东北风~东南风,3-4级,,,
2014-01-29,14,8,小雨~阴,东南风~西风,3-4级,,,
2014-01-30,16,10,多云~晴,南风~东南风,3-4级,,,
2014-01-31,18,12,晴,东南风~南风,3-4级,,,
2015-01-01,4,-1,晴,西北风,3-4级~微风,,,
2015-01-02,8,0,晴~多云,西风~西南风,微风,,,
2015-01-03,11,4,多云~晴,南风,微风,,,
2015-01-04,16,5,晴,西南风~东南风,微风,,,
